_id,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
65ef3f30675dde8010852f3c,124905,Godzilla,6.289,8360,Released,2014-05-14T00:00:00.000Z,529076069,123,FALSE,/zCjZfevPFBbOh2SAx2syIBHSqEI.jpg,160000000,http://www.godzillamovie.com,tt0831387,en,Godzilla,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",44.153,https://image.tmdb.org/t/p/original//zokD6uxR2iWfYM3Y84yGJvnNTK7.jpg,"The world ends, Godzilla begins.","Action, Drama, Science Fiction",Legendary Pictures,United States of America,"English, Japanese, Tagalog"
65ef3f30675dde8010852f13,399566,Godzilla vs. Kong,7.661,9080,Released,2021-03-24T00:00:00.000Z,470116094,114,FALSE,/inJjDhCjfhh3RtrJWBmmDqeuSYC.jpg,200000000,https://www.warnerbros.com/movies/godzilla-vs-kong,tt5034838,en,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",99.005,https://image.tmdb.org/t/p/original//pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg,One Will Fall,"Action, Science Fiction, Thriller",Legendary Pictures,United States of America,English
65ef3f30675dde80108530a3,373571,Godzilla: King of the Monsters,6.674,5479,Released,2019-05-29T00:00:00.000Z,386600138,132,FALSE,/uovH5k4BAEPqXqxgwVrTtqH169g.jpg,170000000,http://www.godzillamovie.com,tt3741700,en,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",53.983,https://image.tmdb.org/t/p/original//fQ40gmFM4p03tXwMxQQKh2cCBW4.jpg,Long live the king.,"Science Fiction, Action","Legendary Pictures, Huahua Media, TOHO","China, Japan, United States of America","Mandarin, English, Japanese"
65ef3f32675dde80108532a9,929,Godzilla,5.605,3541,Released,1998-05-20T00:00:00.000Z,379014294,138,FALSE,/z6fmvhQXS5hbXSizx4DGajjBmGD.jpg,130000000,https://www.sonypictures.com/movies/godzilla,tt0120685,en,Godzilla,"French nuclear tests irradiate an iguana into a giant monster that viciously attacks freighter ships in the Pacific Ocean. A team of experts, including Niko Tatopoulos, conclude that the oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan as the US military races to destroy the monster before it reproduces and it's spawn takes over the world.",30.112,https://image.tmdb.org/t/p/original//tqQ9Nt5C1Z5PRDPxYXQ4qwy5v5V.jpg,Size does matter.,"Science Fiction, Action, Thriller","TOHO, TriStar Pictures, Independent Pictures (II), Fried Films, Centropolis Entertainment","Japan, United States of America","English, French, Japanese, Russian, Spanish"
65ef3f54675dde8010857a4c,856289,Creation of the Gods I: Kingdom of Storms,7.5,89,Released,2023-07-20T00:00:00.000Z,357736908,148,FALSE,/A8paSZwFPs5EmMGE2hbNGKqBfC5.jpg,0,,tt6979756,zh,封神第一部：朝歌风云,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",254.998,https://image.tmdb.org/t/p/original//ccJpK0rqzhQeP7Mrs2uKqObFY4L.jpg,,"Action, Fantasy, War","Beijing Jingxi Culture and Tourism, Century Changshengtian Film, Tencent Penguin Pictures, Maoyan Entertainment, Huaxia Film Distribution, 北京京西文化旅游股份有限公司",China,Mandarin
65ef3f30675dde80108531a5,147441,Exodus: Gods and Kings,5.847,4251,Released,2014-12-03T00:00:00.000Z,268031828,150,FALSE,/hJ1jUw8irCiWwQk7BElxF92BrlK.jpg,140000000,https://www.20thcenturystudios.com/movies/exodus-gods-and-kings,tt1528100,en,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",78.892,https://image.tmdb.org/t/p/original//uaDj37JtvLan9tihxZ18e6qL33b.jpg,"Once brothers, now enemies.","Adventure, Drama, Action","Volcano Films, Chernin Entertainment, Scott Free Productions, Babieka Films","Spain, United Kingdom, United States of America",English
65ef3f30675dde8010852df9,238,The Godfather,8.707,18677,Released,1972-03-14T00:00:00.000Z,245066411,175,FALSE,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,6000000,http://www.thegodfather.com/,tt0068646,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",158.448,https://image.tmdb.org/t/p/original//3bhkrj58Vtu7enYsRolD1fZdja1.jpg,An offer you can't refuse.,"Drama, Crime","Paramount, Alfran Productions",United States of America,"English, Italian, Latin"
65ef3f32675dde8010853237,205584,Gods of Egypt,5.629,3817,Released,2016-02-25T00:00:00.000Z,150680864,127,FALSE,/bF9k4L3E93fHESs55zcyvxG5qZH.jpg,140000000,,tt2404233,en,Gods of Egypt,A common thief joins a mythical god on a quest through Egypt.,32.95,https://image.tmdb.org/t/p/original//hzH7fwaTyQNITLo40Hu3R7cVMqv.jpg,The battle for eternity begins,"Action, Adventure, Fantasy","Thunder Road, Pyramania, Summit Entertainment, Mystery Clock Cinema, TIK Films, Lionsgate, Fin Design & Effects","Australia, Hong Kong, United States of America",English
65ef3f30675dde801085308a,242,The Godfather Part III,7.422,5627,Released,1990-12-25T00:00:00.000Z,136766062,162,FALSE,/zNnjHLDtV8Ti3aworltaeaLMov4.jpg,54000000,,tt0099674,en,The Godfather Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",73.018,https://image.tmdb.org/t/p/original//lm3pQ2QoQ16pextRsmnUbG2onES.jpg,All the power on earth can't change destiny.,"Crime, Drama, Thriller","Paramount, American Zoetrope",United States of America,"English, Italian, German, Latin"
65ef3f32675dde80108534e7,594767,Shazam! Fury of the Gods,6.662,2416,Released,2023-03-15T00:00:00.000Z,133437105,130,FALSE,/zRQITMLvVi8z2Xz12Bi6wvbZE82.jpg,125000000,,tt10151854,en,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",143.169,https://image.tmdb.org/t/p/original//A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,Oh. My. Gods.,"Comedy, Action, Fantasy","New Line Cinema, The Safran Company, DC Films",United States of America,
65ef3f37675dde8010853eab,397567,Along with the Gods: The Two Worlds,8.106,877,Released,2017-12-20T00:00:00.000Z,125983972,139,FALSE,/wyv2Y9vXYJwJzF6cNVuVwVOsOUj.jpg,18300000,,tt7160070,ko,신과함께-죄와 벌,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",25.203,https://image.tmdb.org/t/p/original//gJSvIsI6oQfFim0PGyuuiCYfqKs.jpg,Fate continues even after death,"Action, Adventure, Fantasy, Thriller","Lotte Entertainment, Dexter Studios, Realies Pictures, Korean Film Council, Alpha Pictures, kth, Union Investment Partners","Hong Kong, South Korea",Korean
65ef3f3b675dde801085460f,518068,Along with the Gods: The Last 49 Days,8.171,522,Released,2018-08-01T00:00:00.000Z,112790210,141,FALSE,/ul4WiN9EJxsMokdg7z4Y6iisvHS.jpg,18300000,,tt8116428,ko,신과함께-인과 연,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.",23.985,https://image.tmdb.org/t/p/original//9BnqBHFGDv3WlCPB2qQwzAWdy7y.jpg,Unveiling millennium-old secrets.,"Fantasy, Action, Thriller, Adventure","Lotte Entertainment, Dexter Studios, Realies Pictures, Union Investment Partners, Korean Film Council, Art Service, Alpha Pictures","Hong Kong, South Korea",Korean
65ef3f30675dde8010852e9b,240,The Godfather Part II,8.591,11293,Released,1974-12-20T00:00:00.000Z,102600000,202,FALSE,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,13000000,,tt0071562,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",64.753,https://image.tmdb.org/t/p/original//hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,"I don't feel I have to wipe everybody out, Tom. Just my enemies.","Drama, Crime","Paramount, The Coppola Company",United States of America,"English, Italian, Latin, Spanish"
65ef3f9d675dde80108638fd,1077295,Godspeed,4.75,12,Released,2023-04-28T00:00:00.000Z,81250000,100,FALSE,/mvyh8tXxuuaAFGR6QGQEbxfsd1s.jpg,0,,tt26935962,zh,人生路不熟,"A family of four people experience a laughable and touching journey. Truck driver Zhou Donghai doesn't think Wan Yi Fan is good enough as his son-in-law-to-be. In order to make his future father-in-law happy, Wan Yifan has been trying hard but keeps doing wrong things.",1.631,https://image.tmdb.org/t/p/original//tekSR9MipaYSxFYzcCFLZ8QdOkI.jpg,,Comedy,Shanghai PMF Media,China,Mandarin
